userId	username	so_char	tong_luonglock	char_max_luonglock	ds_char
85	duc09	1	215537	215537	boos:215537
33	dukc03	1	190694	190694	bestlife:190694
141	upqd01	1	186831	186831	clqd01:186831
284	duc9	1	166435	166435	boooooos:166435
142	upqd02	1	151443	151443	clqd02:151443
143	upqd03	1	145590	145590	clqd03:145590
137	duc00009	1	143571	143571	booooos:143571
95	chienbinh1	1	138397	138397	sido:138397
42	hoangziki	1	135770	135770	vivi:135770
90	shopnhakem	1	131496	131496	thor:131496
144	upqd04	1	126622	126622	clqd04:126622
311	gin1112	1	122935	122935	TTXXXD:122935
138	namkaka1	1	116356	116356	namca:116356
312	gin1113	1	114258	114258	TTXXDD:114258
139	baby6789	1	113799	113799	top1cb:113799
298	tien1	1	107724	107724	theking:107724
310	gin1111	1	105335	105335	TTXXD:105335
93	dausi1	1	100716	100716	brian:100716
25	nqsh2026	1	99528	99528	Chem:99528
24	kpah2026	1	98402	98402	DocVL:98402
318	soixam3	1	96619	96619	bem4:96619
247	tuongk29	1	95124	95124	chudocphu:95124
83	kinggod3	1	91993	91993	goku101:91993
283	ginabc4	1	89113	89113	TTXD:89113
300	tien3	1	87371	87371	king:87371
228	hoangziki3	1	84679	84679	vivi4:84679
282	namkaka5	1	84382	84382	namca5:84382
279	namkaka2	1	83308	83308	namca2:83308
46	hoangziki1	1	82779	82779	vivi2:82779
27	2026nqsh	1	82624	82624	KingPK:82624
47	hoangziki2	1	80603	80603	vivi3:80603
303	tuong1	1	79692	79692	chubin:79692
280	namkaka3	1	79298	79298	namca3:79298
91	kiemkhach1	1	78561	78561	leng:78561
94	cungthu1	1	78295	78295	athena:78295
292	gin1995	1	77870	77870	TTXX:77870
26	2026kpah	1	70439	70439	DapVL:70439
92	phapsu1	1	68525	68525	frieren:68525
171	vippro04	1	67454	67454	UpXu01:67454
289	love4	1	62559	62559	Trang:62559
154	vippro01	1	61086	61086	TenGiNhi:61086
281	namkaka4	1	60221	60221	namca4:60221
172	vippro05	1	58722	58722	UpXu02:58722
229	hoangziki4	1	58582	58582	vivi5:58582
82	kinggod2	1	57951	57951	goku103:57951
81	kinggod1	1	54455	54455	goku102:54455
45	goku98	1	53537	53537	godoffking:53537
76	game0	1	50578	50578	GiapVL:50578
44	kinggod	1	49290	49290	kinggod:49290
319	soixam4	1	43723	43723	bem5:43723
237	playboy98	1	42580	42580	Queen:42580
240	playboy95	1	38611	38611	Dausi:38611
130	playboy99	1	38485	38485	Xahoiden:38485
317	soixam2	1	37923	37923	bem2:37923
309	soixam1	1	37111	37111	bem1:37111
226	soixam	2	34742	34742	bemcasever:34742 | damcasever:0
238	playboy97	1	33700	33700	DaiCa:33700
214	anhemta	3	32437	32437	baby:32437 | bammm:0 | bamm:0
287	love2	1	30767	30767	Quynh:30767
286	love1	1	28721	28721	Linh:28721
7	manhvndk	1	24316	24316	thienthai:24316
32	dukc02	1	23232	23232	faminyno1:23232
36	dukc01	1	22201	22201	thanhquan:22201
239	playboy96	1	20484	20484	Mafia:20484
19	dukc00	1	17374	17374	lambohini:17374
216	suzoxv2	2	13768	13577	gaplahiep:13577 | clon1:191
43	zonoxv	2	13482	13037	soiedi:13037 | colon:445
215	suzoxv1	2	9309	9242	king69:9242 | clon2:67
249	minhminh01	1	7481	7481	goo98:7481
23	suzoxv	1	4321	4321	heloking:4321
217	suzoxv3	2	2227	2142	tieuthu9x:2142 | thuy1:85
41	tomaxsu	1	1779	1779	tomaxsu:1779
338	nam01	1	1640	1640	MaKiem:1640
151	minhminh00	1	1613	1613	gun98:1613
18	vodanh1st	1	1576	1576	vodanh1st:1576
75	game1	1	1519	1519	ThanKiem:1519
62	zxc12345	1	1500	1500	CungThan:1500
8	kazuo	1	1468	1468	kazuo:1468
5	kindtian	1	1355	1355	boss:1355
349	bossmaple	1	1198	1198	HalluMaple:1198
72	nbl1608	1	1105	1105	cung:1105
116	vippro1	1	1024	1024	cung9x:1024
326	lining2	1	1000	1000	chimto2:1000
