userId	username	charId	charname	before_lk	deduct_lk	after_lk	allowed_lk	unexplained_lk
85	duc09	150	boos	215537	214028	1509	1509	214028
141	upqd01	119	clqd01	186833	185407	1426	1426	185407
33	dukc03	98	bestlife	170309	168802	1507	1507	168802
284	duc9	156	boooooos	166436	165080	1356	1356	165080
142	upqd02	120	clqd02	151447	149708	1739	1739	149708
143	upqd03	121	clqd03	145591	144087	1504	1504	144087
137	duc00009	154	booooos	143575	142031	1544	1544	142031
95	chienbinh1	72	sido	138397	136641	1756	1756	136641
42	hoangziki	37	vivi	135770	133994	1776	1776	133994
90	shopnhakem	9	thor	131504	129177	2327	2327	129177
144	upqd04	122	clqd04	122799	121299	1500	1500	121299
311	gin1112	29	TTXXXD	122935	121198	1737	1737	121198
138	namkaka1	58	namca	116376	114459	1917	1917	114459
312	gin1113	30	TTXXDD	114258	112724	1534	1534	112724
139	baby6789	11	top1cb	113799	111994	1805	1805	111994
298	tien1	126	theking	107726	105968	1758	1758	105968
310	gin1111	27	TTXXD	105335	103779	1556	1556	103779
93	dausi1	63	brian	100716	98159	2557	2557	98159
25	nqsh2026	64	Chem	99543	96014	3529	3529	96014
24	kpah2026	66	DocVL	98408	95363	3045	3045	95363
318	soixam3	41	bem4	96622	94917	1705	1705	94917
247	tuongk29	1	chudocphu	95125	92956	2169	2169	92956
83	kinggod3	60	goku101	92017	90419	1598	1598	90419
283	ginabc4	22	TTXD	89113	86977	2136	2136	86977
228	hoangziki3	177	vivi4	84679	83088	1591	1591	83088
282	namkaka5	191	namca5	84382	82767	1615	1615	82767
279	namkaka2	186	namca2	83308	81446	1862	1862	81446
46	hoangziki1	170	vivi2	82779	81114	1665	1665	81114
27	2026nqsh	65	KingPK	82638	79471	3167	3167	79471
47	hoangziki2	174	vivi3	80604	79065	1539	1539	79065
280	namkaka3	189	namca3	79298	77954	1344	1344	77954
303	tuong1	5	chubin	79703	77947	1756	1756	77947
91	kiemkhach1	77	leng	78561	77078	1483	1483	77078
94	cungthu1	50	athena	78295	76498	1797	1797	76498
292	gin1995	25	TTXX	77870	76068	1802	1802	76068
26	2026kpah	67	DapVL	70445	67273	3172	3172	67273
92	phapsu1	12	frieren	68525	66386	2139	2139	66386
171	vippro04	134	UpXu01	67471	65189	2282	2282	65189
289	love4	162	Trang	62559	61065	1494	1494	61065
281	namkaka4	190	namca4	60221	58590	1631	1631	58590
229	hoangziki4	179	vivi5	58584	57100	1484	1484	57100
172	vippro05	135	UpXu02	58780	56419	2361	2361	56419
82	kinggod2	59	goku103	57960	56346	1614	1614	56346
81	kinggod1	43	goku102	54457	52744	1713	1713	52744
45	goku98	70	godoffking	53543	51318	2225	2225	51318
76	game0	68	GiapVL	50592	48865	1727	1727	48865
44	kinggod	3	kinggod	49294	45730	3564	3564	45730
319	soixam4	42	bem5	43726	41901	1825	1825	41901
237	playboy98	132	Queen	42580	40763	1817	1817	40763
130	playboy99	129	Xahoiden	38485	37090	1395	1395	37090
240	playboy95	158	Dausi	38615	36905	1710	1710	36905
317	soixam2	40	bem2	37926	36256	1670	1670	36256
309	soixam1	33	bem1	37111	35538	1573	1573	35538
238	playboy97	133	DaiCa	33700	32349	1351	1351	32349
226	soixam	20	bemcasever	32094	29743	2351	2351	29743
214	anhemta	34	baby	32460	29138	3322	3322	29138
287	love2	160	Quynh	30767	28700	2067	2067	28700
286	love1	159	Linh	28721	27125	1596	1596	27125
300	tien3	128	king	25950	23268	2682	2682	23268
7	manhvndk	87	thienthai	24322	22767	1555	1555	22767
32	dukc02	97	faminyno1	23256	21664	1592	1592	21664
36	dukc01	96	thanhquan	22225	20751	1474	1474	20751
239	playboy96	157	Mafia	20484	18701	1783	1783	18701
19	dukc00	95	lambohini	17390	15864	1526	1526	15864
154	vippro01	24	TenGiNhi	16092	13482	2610	2610	13482
216	suzoxv2	80	gaplahiep	13585	11768	1817	2008	11768
43	zonoxv	23	soiedi	13044	11217	1827	2272	11217
215	suzoxv1	79	king69	9253	7482	1771	1838	7482
249	minhminh01	230	goo98	7079	5086	1993	1993	5086
