userId	username	regdate	so_char_bi_anh_huong	before_effective_lk	allowed_bag_lk	excess_lk	after_lk	char_mismatch_count	ds_char
1	shopnhakem	2026-04-06 13:22:30	1	16156	781	15375	781	0	thor:16156->781
17	minhminh00	2026-04-06 16:09:17	1	14913	793	14120	793	0	loitaiai:14913->793
15	adidaphat	2026-04-06 16:07:58	1	8510	510	8000	510	0	KingPK:8510->510
13	namkaka1	2026-04-06 15:54:22	1	7028	538	6490	538	0	haunghe:7028->538
9	nobitakun8654	2026-04-06 14:27:36	1	6015	15	6000	15	0	s2apolo2s:6015->15
5	dukc09	2026-04-06 13:24:17	1	6707	726	5981	726	0	thanhco:6707->726
18	support	2026-04-06 16:26:46	1	6119	344	5775	344	0	ChienThan:6119->344
20	kinggod	2026-04-06 17:11:15	1	6239	814	5425	814	0	therking:6239->814
10	kingpk	2026-04-06 14:34:27	1	4465	465	4000	465	0	1hit:4465->465
16	anchay	2026-04-06 16:08:24	1	4467	467	4000	467	0	PKvip:4467->467
19	hoangziki	2026-04-06 17:11:14	1	3513	808	2705	808	0	lucy:3513->808
7	abc10	2026-04-06 13:26:18	1	3418	978	2440	978	0	But00:3418->978
11	tuyetvip01	2026-04-06 15:45:55	1	1712	577	1135	577	0	butthan:1712->577
