userId	username	regdate	charId	charname	before_db_lk	before_pinfo_lk	before_effective_lk	allowed_bag_lk	bag_open_count	excess_lk	after_lk	mismatch_db_vs_pinfo	first_bag_log	last_bag_log
1	shopnhakem	2026-04-06 13:22:30	1	thor	16156	16156	16156	781	31	15375	781	0	2026-04-06 17:09:50	2026-04-08 11:42:13
17	minhminh00	2026-04-06 16:09:17	3	loitaiai	14913	14913	14913	793	29	14120	793	0	2026-04-06 17:10:20	2026-04-07 00:48:02
15	adidaphat	2026-04-06 16:07:58	6	KingPK	8510	8510	8510	510	20	8000	510	0	2026-04-06 20:23:39	2026-04-07 06:39:14
13	namkaka1	2026-04-06 15:54:22	17	haunghe	7028	7028	7028	538	20	6490	538	0	2026-04-06 17:33:57	2026-04-07 08:11:17
9	nobitakun8654	2026-04-06 14:27:36	40	s2apolo2s	6015	6015	6015	15	1	6000	15	0	2026-04-07 23:22:14	2026-04-07 23:22:14
5	dukc09	2026-04-06 13:24:17	14	thanhco	6707	6707	6707	726	32	5981	726	0	2026-04-06 17:52:10	2026-04-08 11:24:34
18	support	2026-04-06 16:26:46	4	ChienThan	6119	6119	6119	344	14	5775	344	0	2026-04-06 20:23:01	2026-04-07 06:38:09
20	kinggod	2026-04-06 17:11:15	8	therking	6239	6239	6239	814	30	5425	814	0	2026-04-06 17:16:42	2026-04-08 11:34:56
16	anchay	2026-04-06 16:08:24	12	PKvip	4467	4467	4467	467	20	4000	467	0	2026-04-06 20:27:24	2026-04-07 06:41:20
10	kingpk	2026-04-06 14:34:27	16	1hit	4465	4465	4465	465	18	4000	465	0	2026-04-06 20:25:09	2026-04-07 06:49:19
19	hoangziki	2026-04-06 17:11:14	9	lucy	3513	3513	3513	808	32	2705	808	0	2026-04-06 17:21:30	2026-04-08 11:40:57
7	abc10	2026-04-06 13:26:18	21	But00	3418	3418	3418	978	36	2440	978	0	2026-04-06 18:18:15	2026-04-08 11:30:50
11	tuyetvip01	2026-04-06 15:45:55	10	butthan	1712	1712	1712	577	21	1135	577	0	2026-04-06 17:46:48	2026-04-08 00:35:43
