userId	username	regdate	so_char	current_lk	bag_lk	ngude_lk	giftcode_lk	admin_restore_lk	fixed_comp_lk	allowed_lk	unexplained_lk	rec_clawback_5000	rec_clawback_10000	ds_char
85	duc09	2026-03-30 18:11:31	1	215537	509	0	0	0	1000	1509	214028	214028	214028	boos:215537
141	upqd01	2026-03-31 00:05:35	1	186833	426	0	0	0	1000	1426	185407	185407	185407	clqd01:186833
33	dukc03	2026-03-27 06:15:40	1	170309	507	0	0	0	1000	1507	168802	168802	168802	bestlife:170309
284	duc9	2026-04-02 08:33:59	1	166436	356	0	0	0	1000	1356	165080	165080	165080	boooooos:166436
142	upqd02	2026-03-31 00:05:41	1	151447	739	0	0	0	1000	1739	149708	149708	149708	clqd02:151447
143	upqd03	2026-03-31 00:05:47	1	145591	504	0	0	0	1000	1504	144087	144087	144087	clqd03:145591
137	duc00009	2026-03-30 23:50:10	1	143575	544	0	0	0	1000	1544	142031	142031	142031	booooos:143575
95	chienbinh1	2026-03-30 19:24:40	1	138397	756	0	0	0	1000	1756	136641	136641	136641	sido:138397
42	hoangziki	2026-03-27 16:02:39	1	135770	776	0	0	0	1000	1776	133994	133994	133994	vivi:135770
90	shopnhakem	2026-03-30 19:21:13	1	131504	1327	0	0	0	1000	2327	129177	129177	129177	thor:131504
144	upqd04	2026-03-31 00:06:06	1	122799	500	0	0	0	1000	1500	121299	121299	121299	clqd04:122799
311	gin1112	2026-04-02 21:14:02	1	122935	737	0	0	0	1000	1737	121198	121198	121198	TTXXXD:122935
138	namkaka1	2026-03-30 23:51:52	1	116376	917	0	0	0	1000	1917	114459	114459	114459	namca:116376
312	gin1113	2026-04-02 21:14:16	1	114258	534	0	0	0	1000	1534	112724	112724	112724	TTXXDD:114258
139	baby6789	2026-03-30 23:53:28	1	113799	805	0	0	0	1000	1805	111994	111994	111994	top1cb:113799
298	tien1	2026-04-02 14:55:05	1	107726	758	0	0	0	1000	1758	105968	105968	105968	theking:107726
310	gin1111	2026-04-02 21:13:50	1	105335	556	0	0	0	1000	1556	103779	103779	103779	TTXXD:105335
93	dausi1	2026-03-30 19:24:14	1	100716	1557	0	0	0	1000	2557	98159	98159	98159	brian:100716
25	nqsh2026	2026-03-27 03:01:31	1	99543	1529	1000	0	0	1000	3529	96014	96014	96014	Chem:99543
24	kpah2026	2026-03-27 02:59:23	1	98408	1045	1000	0	0	1000	3045	95363	95363	95363	DocVL:98408
318	soixam3	2026-04-02 23:26:51	1	96622	705	0	0	0	1000	1705	94917	94917	94917	bem4:96622
247	tuongk29	2026-04-01 14:59:27	1	95125	1169	0	0	0	1000	2169	92956	92956	92956	chudocphu:95125
83	kinggod3	2026-03-30 00:55:23	1	92017	598	0	0	0	1000	1598	90419	90419	90419	goku101:92017
283	ginabc4	2026-04-01 23:08:36	1	89113	1136	0	0	0	1000	2136	86977	86977	86977	TTXD:89113
228	hoangziki3	2026-04-01 14:07:02	1	84679	591	0	0	0	1000	1591	83088	83088	83088	vivi4:84679
282	namkaka5	2026-04-01 21:15:30	1	84382	615	0	0	0	1000	1615	82767	82767	82767	namca5:84382
