id	charname	userId	del	ban	tDelChar_dt	lastLog
253	jmwk	341	0	1	2026-04-06 06:04:07.0010	2026-04-06 06:04:03
252	wmjdj	340	0	1	2026-04-06 05:59:51.8480	2026-04-06 05:59:48
251	jmwmj	339	0	1	2026-04-06 05:58:56.6430	2026-04-06 05:58:52
137	bam44	263	0	1	2026-04-05 22:36:13.0880	2026-04-05 06:52:22
155	bam444	263	0	1	2026-04-05 22:36:09.7360	2026-04-05 22:31:44
136	bam33	262	0	1	2026-04-05 22:35:57.4170	2026-04-05 06:52:22
153	bam333	262	0	1	2026-04-05 22:35:54.0320	2026-04-05 22:31:44
117	bam222	261	0	1	2026-04-05 22:33:43.8370	2026-04-05 22:31:44
75	bam22	261	0	1	2026-04-05 22:33:39.3740	2026-04-05 06:52:22
61	bam11	260	0	1	2026-04-05 22:32:06.3630	2026-04-05 06:52:22
71	bam111	260	0	1	2026-04-05 22:32:01.2770	2026-04-05 06:45:58
241	upxuxu4	341	0	1	2026-04-05 19:03:32.6260	2026-04-05 19:03:28
239	upxuxu1	339	0	1	2026-04-05 19:02:06.0360	2026-04-05 19:02:02
240	upxuxu2	340	0	1	2026-04-05 19:01:11.9690	2026-04-05 19:01:08
55	xuxu12	337	0	1	2026-04-04 15:06:33.1280	2026-04-03 22:58:54
47	xuxu11	337	0	1	2026-04-04 15:06:30.2790	2026-04-03 22:45:27
54	xuxu9	336	0	1	2026-04-04 15:05:46.3640	2026-04-03 22:55:29
45	xuxu8	336	0	1	2026-04-04 15:05:43.4390	2026-04-03 22:42:13
53	xuxu6	335	0	1	2026-04-04 15:02:49.9160	2026-04-03 22:55:28
46	xuxu5	335	0	1	2026-04-04 15:02:46.5040	2026-04-03 22:41:36
52	xuxu3	334	0	1	2026-04-04 14:57:44.0100	2026-04-03 22:52:44
44	xuxu2	334	0	1	2026-04-04 14:57:38.9360	2026-04-03 22:40:58
206	aa88	55	0	1	2026-04-04 11:39:13.1330	2026-04-04 11:38:06
204	au88	54	0	1	2026-04-04 11:35:43.2070	2010-01-01 00:00:00
16	damcasever	226	0	1	2026-04-03 21:21:33.0510	2010-01-01 00:00:00
